Botanic Garden Tours | C | C | U
Gardens by the Bay | C | C | U
Kampong Glam Cultural Exploration | C | C | U
Little India Heritage Walk | C | C | U
Bugis Street Market | C | C | U
Esplanade Free Concerts | C | C | U
National Library Visits | C | C | U
St Andrew's Cathedral Tour | C | C | U
Singapore River Walk | C | C | U
Clarke Quay Nightlife | C | B | U
Bras Basah Complex Art Galleries | C | B | U
National Museum of Singapore Visit | C | B | U
Fort Canning Hill Hike | C | B | U
Stamford Arts Centre Performances | C | B | U
Raffles Hotel Historical Tour | C | B | U
Chinatown Food Adventure | C | B | U
Marina Bay Sands Light and Water Show | C | B | U
Singapore River Cruise | C | B | U
Haw Par Villa | C | B | U
Mount Faber Cable Car Ride | C | B | U
Orchard Road Shopping Experience | C | A | U
Merlion Park Visit | C | A | U
Chinatown Heritage Centre | C | A | U
Duck Tours at Marina Bay | C | A | U
Suntec City Shopping | C | A | U
Peranakan Museum Discovery | C | A | U
Haji Lane Shopping | C | A | U
Fort Canning Park Archaeological Dig and Historical Tour | C | A | U
Museum of Ice Cream | C | A | U
Katong Antique House Visit | C | A | U
Katong Food Walk | C | A | U
Singapore Cable Car Dining | C | P | U
National Gallery Singapore Exclusive Tour | C | P | U
Victoria Theatre Concert Night | C | P | U
Singapore River Fine Dining Cruise | C | P | U
Helix Bridge Evening Walk | C | P | U
MBS Casino Experience | C | P | U
Singapore Flyer | C | P | U
Universal Studios Singapore | C | P | U
Singapore Zoo Night Safari | C | P | U
Marina Bay Sands SkyPark | C | P | U
Private Luxury Boat Charter at Marina Bay | C | S | U
VIP Shopping Experience on Orchard Road | C | S | U
Esplanade Theatres VIP Show Tickets | C | S | U
Private Helicopter Tour over Singapore | C | S | U
Exclusive Ritz-Carlton Spa Day | C | S | U
MBS Skypark Infinity Pool Access | C | S | U
Marina Bay Sands Skypark Observation Deck | C | S | U
Marina Bay Sands Infinity Pool | C | S | C
ArtScience Museum | C | S | U
Marina Bay Sands Shopping | C | S | U
Gardens by the Bay | C | S | U
East Coast Lagoon Food Village | E | C | U
Pasir Ris Park Mangrove Walk | E | C | U
Bedok Reservoir Park | E | C | U
Tampines Eco Green Tour | E | C | U
Siglap Canal Graffiti Art Walk | E | C | U
Changi Point Coastal Boardwalk | E | C | U
Jewel Changi Airport Exploration | E | C | U
Peranakan Culture Exploration in Joo Chiat | E | C | U
Pulau Ubin Adventure | E | C | U
Marina Barrage Kite Flying | E | C | U
Punggol Waterway Park | E | C | U
Simei Street Art Trail | E | B | U
Paya Lebar Square Shopping | E | B | U
Changi Village Hawker Centre Food Trip | E | B | U
Tanah Merah Country Club Golf | E | B | U
Bedok Jetty Fishing Experience | E | B | U
Pasir Ris Beach Park BBQ | E | B | U
Haw Par Villa | E | B | U
Katong Laksa Tasting | E | B | U
East Coast Park Cycling | E | B | U
Coney Island Park Exploration | E | B | U
Katong Antique House Visit | E | A | U
Changi Airport Jewel Exploration | E | A | U
East Coast Park BBQ Party | E | A | U
Laguna National Golf & Country Club | E | A | U
Tampines Hub Sports Facilities | E | A | U
Singapore Wake Park | E | A | U
Chek Jawa Wetlands Tour | E | A | U
Katong Food Walk | E | A | U
Changi Museum Visit | E | A | U
Punggol Promenade Nature Walk | E | A | U
Cycling at Punggol Waterway | E | A | U
Jewel Changi Airport Canopy Park | E | P | U
Wild Wild Wet VIP Package | E | P | U
Aloha Sea Sports Centre Windsurfing | E | P | U
D'Resort Rainforest Suite Stay | E | P | U
Tanjong Beach Club Day Pass | E | P | U
Changi Cove Conference Centre Retreat | E | P | U
Ferry Ride to Pulau Ubin with Private Guide | E | P | U
Changi Experience Studio | E | P | U
Marina Bay Sands Skypark Observation Deck | E | P | U
Marina Bay Sands Casino | E | P | U
Jewel Changi Airport Canopy Park | E | P | U
Marina Bay Sands Infinity Pool | E | S | U
Marina Bay Sands Shopping | E | S | U
Marina Bay Sands Helicopter Tour | E | S | U
Pulau Ubin Adventure | E | S | U
Punggol Waterway Park | E | S | U
Exclusive Jewel Changi Airport Tour | E | S | U
Private Yacht Charter from Changi | E | S | U
VIP Sky Dining on Singapore Cable Car | E | S | U
Premium Seafood Dinner at East Coast | E | S | U
Ultimate Pulau Ubin Cycling Adventure | E | S | U
Luxurious Spa Day at Capri by Fraser | E | S | U
Clementi Woods Park Nature Walk | W | C | U
Bukit Batok Nature Park Hiking | W | C | U
Jurong Lake Gardens Picnic | W | C | U
West Coast Park Playground Adventure | W | C | U
Chinese Garden Leisure Visit | W | C | U
Science Centre Observatory Stargazing | W | C | U
Singapore Botanic Gardens | W | C | U
Jurong Bird Park | W | C | U
Singapore Science Centre | W | C | U
Henderson Waves Bridge Walk | W | C | U
Singapore Botanic Gardens | W | C | U
West Coast Park Picnic | W | B | U
IMM Outlet Mall Shopping | W | B | U
Jurong Bird Park Basic Tour | W | B | U
Sungei Buloh Wetland Reserve Visit | W | B | U
Westgate Shopping Spree | W | B | U
Snow City Singapore Fun Visit | W | B | U
Army Museum of Singapore Exploration | W | B | U
Hawker Centre Hopping in Jurong | W | B | U
JCube Ice Skating | W | B | U
Haw Par Villa | W | B | U
Mount Faber Cable Car Ride | W | B | U
Jurong East Swimming Complex Day Out | W | A | U
JCube Ice Skating Session | W | A | U
Chinese and Japanese Gardens Guided Tour | W | A | U
Adventure Cove Waterpark Standard Access | W | A | U
Lee Kong Chian Natural History Museum Visit | W | A | U
The Rink Ice Skating | W | A | U
Jurong Lake Gardens Cycling | W | A | U
Haw Par Villa | W | A | U
Jurong East Swimming Complex | W | A | U
Jurong Hill Lookout Tower | W | A | U
Jurong Eco-Garden | W | A | U
Singapore Discovery Centre Premium Experience | W | P | U
River Safari Exclusive Tour | W | P | U
Jurong Bird Park Private Encounter | W | P | U
Omni-Theatre Immersive Experience | W | P | U
The Live Turtle and Tortoise Museum Private Visit | W | P | U
Jem Shopping and Dining Experience | W | P | U
Jurong Hill Lookout Tower | W | P | U
Jem Shopping Mall | W | P | U
West Coast Park Sunset Viewing | W | P | U
Orchard Road Shopping | W | P | U
VivoCity Shopping | W | P | U
Night Safari VIP Tour | W | S | U
Jurong Bird Park Behind-the-Scenes Experience | W | S | U
River Safari Amazon River Quest Private Boat | W | S | U
Science Centre Singapore VIP Tour | W | S | U
The Rink Exclusive Ice Skating Party | W | S | U
Luxury Spa Retreat at Genting Hotel Jurong | W | S | U
Jurong Eco-Garden | W | S | U
Marina Bay Sands Infinity Pool | W | S | U
Marina Bay Sands Skypark Observation Deck | W | S | U
West Coast Park Sunset Viewing | W | S | U
Henderson Waves Bridge Walk | W | S | U
Henderson Waves Bridge Walk | S | C | U
Labrador Park Nature Walk | S | C | U
Sentosa Beach Leisure Day | S | C | U
Mount Faber Park Hiking | S | C | U
VivoCity Waterfront Promenade | S | C | U
Sentosa Nature Discovery Trail | S | C | U
