25 Degrees | C | C | W | U
49 Seats | C | C | W | U
888 Mookata | C | C | T | U
90 Minutes | C | B | K | U
A9 Noodles and Dumplings | C | B | C | U
Aburi Kaisen Don Keisuke | C | B | J | U
Five Guys | C | A | W | U
Hantol | C | A | K | U
Swee Choon | C | A | C  | U
Wano Niku | C | P | J | U
Super Thai Mookata | C | P | T | U
Cicheti | C | P | I | U
Ikura Japanese | C | S | J | U
R.K Eating House | C | S | I | U
Tolido's Expresso Nook | C | S | W | U
886 Bistro | E | C | C | U
Al Jasra | E | C | I | U
Breakfast Grill | E | C | W | U
Charlie's Corner | E | B | W | U
E&D Co | E | B | W | U
Ha-Jun | E | B | K | U
Missus | E | A | W | U
Mr Yakiniku | E | A | J | U
Five Oars | E | A | W | U
Knead To Eat | E | P | W | U
Craze Kitchen | E | P | I | U
Neptune | E | P | I | U
Supernova | E | S | W | U
The Sushi Bar | E | S | J | U
The Basil Inn | E | S | T | U
49 Seats | W | C | W | U
888 Mookata | W | C | T | U
46 Mittsu | S | C | W | U
Abundance | S | C | C | U
Hwang Shi | S | C | C | U
Gyunion | S | B | J | U
Gyu San | S | B | J | U
Hamburg Steak | S | B | J | U
Hantoi | S | A | K | U
Burger Labo | S | A | W | U
Old Habits Cafe | S | A | W | U
Publico | S | P | I | U
Pura Barsa | S | P | S | U
Marcy's | S | P | I | U
Lau Pa Sat | S | S | F | U
Potato Head | S | S | W | U
Fuel X | NE | C | W | U
Samwitch | NE | C | W | U
Breakfast Club | NE | C | W | U
Whisk and Paddle | NE | B | W | U
Tend Bistro | NE | B | J | U
Dai Lou | NE | B | C | U
Riang | NE | A | W | U
Ishiro | NE | A | J | U
Folk Yard | NE | A | W | U
Tie Fun Wan | NE | P | C | U
Gusta Sourdough Pizza Co | NE | P | I | U
Curry Otoko Donburi | NE | P | J | U
Shabu-GO | NE | S | J | U
Idaten Udon | NE | S | J | U
Moments | NE | S | W | U
Aburi-En | ACC | C | J | U
Genki Sushi | ACC | C | J | U
Makisan | ACC | C | J | U
Lenu | ACC | B | C | U
A&W | ACC | B | W | C
Monster Curry | ACC | B | J | U
Pepperlunch | ACC | A | J | U
Crystal Jade | C | P | C | C
Shi Li Fang | ACC | A | C | U
Soup Spoon | ACC | A | W | U
Green Dot | ACC | P | W | U
Hai Di Lao | ACC | P | C | U
Poulet | ACC | P | W | U
Gochi-so Shokudo | ACC | S | J | U
Ichiban Sushi | ACC | S | J | U
Watami Japanese Dining | ACC | S | J | U
The West Wing | W | P | W | U
YC Dining and Bar | W | P | W | U
Curry House | ACC | C | I | U
Ocean's Catch | NE | B | S | U
Pasta Pronto | W | A | I | U
Spicy Sichuan | E | B | C | U
Luxury Sushi | S | P | J | U
World Fusion | ACC | A | F | U
Burger Joint | ACC | B | W | U
Noodle House | NE | A | C | U
Pizza Place | S | B | I | U
Steak Heaven | W | P | W | U
Tapas Bar | ACC | A | S | U
BBQ Smokehouse | C | A | W | U
Dim Sum Corner | NE | B | C | U
Gelato Spot | ACC | B | I | U
Ramen Retreat | ACC | A | J | U
Tea House | E | C | C | U
Tortilla Tavern | W | C | S | U
Bamboo Basket | E | C | C | U
Roma Pizzeria | S | B | I | U
Tropical Fusion | NE | B | F | U
East Sushi Stop | NE | A | J | U
Mediterranean Mosaic | C | P | F | U
Nordic Bites | W | A | W | U
Southern Spice | S | B | I | U
Pan-Asian Diner | C | C | F | U
Mountain Kimchi | W | B | K | U
Baguette & Brie | S | P | W | U
Dragon Noodle House | NE | A | C | U
Urban Tandoori | C | A | I | U
Paella Pavilion | W | P | S | U
Curry in a Hurry | E | C | I | U
Tempura Towers | S | B | J | U
Pasta Port | NE | C | I | U
Goulash Garden | C | A | W | U
Bulgogi BBQ | ACC | B | K | U
Saffron Lounge | W | S | I | U
Tapas Tienda | NE | P | S | U
Zen Zen Sushi | ACC | S | J | U
Oodles of Noodles | E | A | C | U
Valentino | C | P | I | U
Kimchi Kingdom | NE | A | K | U
FOC Sentosa | E | B | S | U
Tim Ho Wan | ACC | C | C | U
Tex-Mex Grill | NE | B | W | U
Dumpling Darlings | W | C | C | U
Lemongrass Lane | C | A | T | U
Ichiban Boshi | E | P | J | U
Flamenco Flavors | NE | P | S | U
Din Tai Fung | W | P | C | U
Tori-Q | W | A | J | U
Grill and Greens | C | C | W | U
Empanada Esquina | E | A | S | U
Beauty in the Pot | ACC | S | C | U
